date,open,high,low,close,volume,oi,oi_change,oi_cumm,volume_change
2024-02-20 09:15:00,622,690.05,622,663.9,62565,285540,0.629063805,371.5725455,211.9670905
2024-02-20 09:16:00,663.9,665.25,640,648.4,57465,285540,0,371.5725455,-8.151522417
2024-02-20 09:17:00,645.8,649,636,641.3,15045,285540,0,371.5725455,-73.81884625
2024-02-20 09:18:00,641.3,658,641.3,657,20760,297180,4.076486657,375.6490321,37.98604187
2024-02-20 09:19:00,657,666.4,638.9,654.5,14790,297180,0,375.6490321,-28.75722543
2024-02-20 09:20:00,654.5,659.55,626.2,633.25,13590,297180,0,375.6490321,-8.113590264
2024-02-20 09:21:00,633.25,647.5,633.25,638.2,10110,299730,0.858065819,376.5070979,-25.60706402
2024-02-20 09:22:00,638.2,658,635,658,14955,299730,0,376.5070979,47.92284866
2024-02-20 09:23:00,658,658.25,618.75,623.4,15450,299730,0,376.5070979,3.309929789
2024-02-20 09:24:00,623.4,652.15,608.75,646.3,12045,295110,-1.541387249,374.9657107,-22.03883495
2024-02-20 09:25:00,646.3,649.45,626.85,629,12240,295110,0,374.9657107,1.618929016
2024-02-20 09:26:00,629,633,619,626.4,8190,295110,0,374.9657107,-33.08823529
2024-02-20 09:27:00,626.4,632.7,613.5,622.9,12480,298305,1.082647149,376.0483578,52.38095238
2024-02-20 09:28:00,622.9,635.5,618.25,635.5,13950,298305,0,376.0483578,11.77884615
2024-02-20 09:29:00,635.5,652.5,624,651,14520,298305,0,376.0483578,4.086021505
2024-02-20 09:30:00,651,660,619.05,626.7,22665,298785,0.160909137,376.209267,56.09504132
2024-02-20 09:31:00,626.7,640.6,624.8,635.3,9390,298785,0,376.209267,-58.57048312
2024-02-20 09:32:00,635.3,640.2,629.2,631.4,8685,298785,0,376.209267,-7.50798722
2024-02-20 09:33:00,631.4,636,575.8,587.8,21210,302940,1.39063206,377.599899,144.2141623
2024-02-20 09:34:00,587.8,599.35,580,591,31110,302940,0,377.599899,46.67609618
2024-02-20 09:35:00,591,598.05,564,564,16860,302940,0,377.599899,-45.80520733
2024-02-20 09:36:00,566.05,583.95,560,577.4,26460,314760,3.901762725,381.5016618,56.93950178
2024-02-20 09:37:00,577.4,577.5,519.5,519.5,55590,314760,0,381.5016618,110.0907029
2024-02-20 09:38:00,518.95,531.45,509,510.95,47775,314760,0,381.5016618,-14.05828386
2024-02-20 09:39:00,510.95,524,503.25,524,18765,357615,13.61513534,395.1167971,-60.72213501
2024-02-20 09:40:00,524,552,517.7,534.75,35325,357615,0,395.1167971,88.24940048
2024-02-20 09:41:00,534.75,542.6,512.4,517.6,28200,357615,0,395.1167971,-20.16985138
2024-02-20 09:42:00,517.6,528.65,491,492,51450,378840,5.935153727,401.0519508,82.44680851
2024-02-20 09:43:00,492,507.35,487,490.8,38400,378840,0,401.0519508,-25.36443149
2024-02-20 09:44:00,490.8,514.15,484,508.8,30030,378840,0,401.0519508,-21.796875
2024-02-20 09:45:00,508.8,512.4,498.2,506.85,23325,402480,6.240101362,407.2920522,-22.32767233
2024-02-20 09:46:00,506.85,514.2,503,507.9,18405,402480,0,407.2920522,-21.09324759
2024-02-20 09:47:00,507.9,516.8,503.35,516.8,12030,402480,0,407.2920522,-34.63732681
2024-02-20 09:48:00,516.8,536.35,513.25,523.3,54015,391485,-2.731812761,404.5602394,349.0024938
2024-02-20 09:49:00,524.5,547.45,522.8,545.4,36510,391485,0,404.5602394,-32.40766454
2024-02-20 09:50:00,545.4,555,512.8,528.1,41220,391485,0,404.5602394,12.90057518
2024-02-20 09:51:00,528.1,546.35,525,537.8,19560,383520,-2.034560711,402.5256787,-52.54730713
2024-02-20 09:52:00,537.8,545.15,535.2,543.45,10950,383520,0,402.5256787,-44.01840491
2024-02-20 09:53:00,543.45,574,537.4,563.65,63630,383520,0,402.5256787,481.0958904
2024-02-20 09:54:00,563.65,569.65,535.2,547.8,33360,383520,0,402.5256787,-47.57190005
2024-02-20 09:55:00,547.8,562.1,545,550,17160,363405,-5.244837297,397.2808414,-48.56115108
2024-02-20 09:56:00,550,560.4,549.15,550.85,14415,363405,0,397.2808414,-15.9965035
2024-02-20 09:57:00,550.85,550.85,510.8,519.3,34440,363405,0,397.2808414,138.917794
2024-02-20 09:58:00,519.3,537,519.3,532.25,21915,375195,3.244314195,400.5251556,-36.36759582
2024-02-20 09:59:00,532.25,534.7,513,520.9,17850,375195,0,400.5251556,-18.54893908
2024-02-20 10:00:00,520.9,527.6,516.1,518.95,12600,375195,0,400.5251556,-29.41176471
2024-02-20 10:01:00,518.95,530.15,514.25,521.45,14340,392310,4.561627953,405.0867836,13.80952381
2024-02-20 10:02:00,521.45,522.3,505.6,507.05,13140,392310,0,405.0867836,-8.368200837
2024-02-20 10:03:00,507.05,533,505.35,525,34890,392310,0,405.0867836,165.5251142
2024-02-20 10:04:00,525,527,512.95,525.35,15195,418275,6.618490479,411.705274,-56.44883921
2024-02-20 10:05:00,525.75,526.4,511,516.75,25095,418275,0,411.705274,65.15301086
2024-02-20 10:06:00,516.75,520.5,491.4,519.8,38730,418275,0,411.705274,54.33353258
2024-02-20 10:07:00,519.8,524,501,509.8,19305,425280,1.674735521,413.3800096,-50.15491867
2024-02-20 10:08:00,509.8,511.35,442.35,442.35,98625,425280,0,413.3800096,410.8780109
2024-02-20 10:09:00,442.35,447.25,425,437,98460,425280,0,413.3800096,-0.16730038
2024-02-20 10:10:00,437,437,412.6,412.6,176805,464070,9.121049661,422.5010592,79.57038391
2024-02-20 10:11:00,414.9,429.6,409.85,429.15,91275,464070,0,422.5010592,-48.37532875
2024-02-20 10:12:00,429.15,430,414.35,420,88170,464070,0,422.5010592,-3.401807724
2024-02-20 10:13:00,420,423.9,393.05,396.2,116505,524640,13.05191027,435.5529695,32.13678122
2024-02-20 10:14:00,396.2,404.45,373.4,378.65,151530,524640,0,435.5529695,30.06308742
2024-02-20 10:15:00,378.65,381.8,359.75,359.75,163830,524640,0,435.5529695,8.117204514
